input file used in this experiment: godfather/gdad.txt
MAX characters between words allowed: 200

,,Distance Between words,Actual Text 
905334,905336,1,'ki
905352,905345,6,ill me '
905352,905364,11,' and there i
908109,908104,4,ive  '
938350,938320,29,i expected to see some of the '

Location of ',Location of you,,
34246,34252,5,'when you
49465,49441,21,you come to me and say  '
49495,49501,5,' and you
49713,49725,11,'i will pay you
49738,49725,10,you anything '
49738,49801,62,' no  no  i am not offended  but what have i ever done to make you
58261,58272,10,' i called you
145983,145942,38,you think two million dollars in cash is '
145999,146016,16,' i congratulate you
165250,165147,100,you recognize my voice    yeah   sonny said  he was fresh from a nap  called to the phone by his wife  '
165250,165307,56,' phillips said quickly without preamble   somebody shot you
193187,193049,135,you too  when it comes to real action i can operate as good as anybody  short-range  sollozzo knows that and so do clemenza and tessio  i '
236018,235988,27,you know what he always says  '
252491,252466,22,you were talking about   '
280179,280155,21,you to get him a really '
280218,280197,18,your collection  the '
303083,303077,3,you   '
311016,310882,131,your father stands in the way because of certain unrealistic scruples  by doing this he imposes his will on men like myself  yes  yes '
311070,311056,11,your business '
312502,312456,43,you want the whole proposition in detail then '
353279,353307,27,'vote for johnny fontane or you
353328,353307,18,you are out of a job '
389424,389395,26,you home with her  did she   '
491471,491325,143,your mail  of course   kay was horrified and angry  now she could face him  what he had done was more shameful than her own sin  book iv 233 m& & '
491471,491517,45,' she could never believe it of him   father  you
496363,496366,2,'  you
611114,611134,19,'i have powders  if you
611229,611134,92,you put up the three-  four-thousand-dollar investment we can make fifty thousand distributing '
663275,663284,8,'em like you
665936,665805,128,you know what she told me  that those gunslingers  those manly  virile  straight-shooting cowboys would always ask the girls for a '
665944,665982,37,' what we doctors call fellatio  what you
665991,665982,6,you call '
666018,666024,5,' did you
666048,666024,21,you ever think of doing '
672367,672380,12,'getting old you
680405,680335,67,you were a dead man  and i was so delighted when i could say the word '
680412,680422,9,' because you
681498,681435,60,you keep that up   valenti was lumbering up to him with little '
794033,794051,17,' nobody listens  you
794109,794087,19,you will die tomorrow '
794109,794128,18,' well  i can tell you
794892,794878,11,you could die '
796410,796290,117,you scoop the seeds out of a cantaloupe  after all that she dies anyway  meanwhile husbands keep calling up and asking  '
797043,797061,17,'what the hell do you
861350,861335,12,you cannot say '
861454,861423,28,you do  it has to sound like a '
861459,861464,4,' or you
861490,861464,23,you have to make them say '
861494,861496,1,' you
862535,862420,112,you would never have suspected  except that i came out alive  i saw fabrizzio going through the gate  running away '
876009,875983,23,you gotta fight or have a '
908109,908034,72,you for   she asked  her worried frown made her look old and unattractive  '
938350,938279,68,you up here to threaten me   she asked   i expected to see some of the '

Location of ',Location of he,,
34173,34175,1,'whe
34230,34203,25,hear that story about luca '
34246,34248,1,'whe
34269,34409,139,'   michael sipped book i 25 his glass of wine   that must be some story  that must be some luca   luca brasi was indeed a man to frighten the
45485,45474,9,he found a '
45497,45516,18,' not an italian  she
46051,46041,8,her pain  '
46051,46055,3,'fathe
46115,46097,16,hey do this to me '
46115,46159,43,' and i wept   bonasera could not speak furthe
46958,46935,21,hen i said to my wife  '
46998,47002,3,'  the
49465,49398,65,he undertaker a polite  ironic smile   now you come to me and say  '
49495,49593,97,' and you do not ask with respect  you do not offer me your friendship  you come into my home on the
57237,57193,42,he whole wedding party broke into shouts of '
57237,57250,12,' applause  the
58223,58183,38,he wedding invitation i said to myself  '
58223,58233,9,'my godfathe
58261,58413,151,' i called you five times after my divorce and tom always told me you were out or busy so i knew you were sore   don corleone was filling glasses from the
61800,61804,3,'  the
87869,87866,1,he '
87871,87899,27,'old man  thought mike was the
119898,119885,11,he is called '
119898,119905,6,'godfathe
145999,146037,37,' i congratulate you  don corleone   the
151611,151583,26,he be home tomorrow night   '
151611,151634,22,'  sure   hagen said   he
165250,165228,20,he phone by his wife  '
165250,165315,64,' phillips said quickly without preamble   somebody shot your fathe
177665,177647,16,he don was an old '
177665,177673,7,'moustache
177681,177673,6,he pete '
177681,177704,22,' his day was over but he
191186,191173,11,hey can turn '
191186,191244,57,'him loose or dump him  depending how sollozzo feels  if the
193187,193059,126,hen it comes to real action i can operate as good as anybody  short-range  sollozzo knows that and so do clemenza and tessio  i '
234747,234775,27,'too smart   hagen paused   he
236018,236002,14,he always says  '
271166,271139,25,he wrong decision was made '
271166,271187,20,' michael spoke for the
280179,280059,118,hen we find that out we can figure out how we can get a weapon into his hands  clemenza  i want you to get him a really '
280218,280215,1,he '
293023,293013,8,he light  '
303083,303164,80,'hagen said   mccluskey is a stupid man and it was business  not personal   for the
311016,310967,47,he imposes his will on men like myself  yes  yes '
311016,311025,8,'i know  he
311040,311025,13,he says to me  '
311040,311045,4,'go ahe
311070,311134,63,' but we both know that is unrealistic  we must tread on each othe
312502,312498,2,hen '
312502,312638,135,'  sollozzo asked  michael said gravely   most important of all i must have sure guarantees that no more attempts will be made on my fathe
315332,315266,64,hey had gone weak with trembling  sollozzo was leaning toward him '
315332,315364,31,'michael  his belly covered by the
321138,321125,11,he said yes  '
321138,321244,105,' sharon moore obviously expected him to come on very strong because of his reputation  but johnny hated the
353279,353264,13,heads and say  '
353328,353330,1,' he
389424,389419,3,he   '
389424,389441,16,' nino shook his he
430723,430711,10,he traveled '
430723,430730,6,'over the
435157,435135,20,he whole neighborhood '
435157,435255,97,' within a^few weeks  also knew  vito corleone was treated as a  man of respect  by everyone  but he
489405,489358,45,here his face became one of scholarly doubt- a '
491471,491441,28,her own sin  book iv 233 m& & '
491471,491474,2,' she
496363,496335,26,heek very quickly and said  '
496363,496390,26,'  you forget about mikey  he
595409,595361,46,he look of no-nonsense busy men without vanity  '
595409,595411,1,'the
604457,604422,33,he tattaglia family  i gave him my '
611114,611100,12,hem and says  '
611114,611146,31,'i have powders  if you put up the
611229,611146,81,he three-  four-thousand-dollar investment we can make fifty thousand distributing '
611229,611266,36,' who can resist such a profit  and the
638461,638457,2,her '
638461,638542,80,'legal folderol  which might take a little time  felix bocchicchio would die in the
655908,655890,16,he went down into '
655908,655910,1,'the
663275,663238,35,hey come to me right away  i curette '
663275,663356,80,'em like you scrape a frying pan  freddie corleone is a real terror  by my count he
665936,665921,13,he girls for a '
665991,666000,8,'oh 312 the
666018,666009,7,her that '
672367,672337,28,he fact that my voice changed '
672367,672391,23,'getting old you know   he
